Date,Time,Water_Temp_C,DO_pctsat,DO_mg_l,Conductivity_uS_cm,TDS_mg_l,Salinity_ppt,pH_SU
8/14/2024,2:03:03 PM,24.079,85.1,7.15,397.8,259,0.19,7
8/14/2024,2:03:13 PM,24.18,88.7,7.44,396.9,258,0.19,7
8/14/2024,2:03:23 PM,24.544,89.7,7.47,399,259,0.19,7
8/14/2024,2:03:33 PM,24.934,91.5,7.57,396.4,258,0.19,7.01
8/14/2024,2:03:43 PM,25.005,92.8,7.66,367.5,239,0.17,7.02
8/14/2024,2:03:53 PM,25.028,93.2,7.69,382.3,249,0.18,7.03
8/14/2024,2:04:03 PM,25.075,93.5,7.71,383.2,249,0.18,7.03
8/14/2024,2:04:13 PM,25.459,95.5,7.82,356.7,232,0.17,7.04
8/14/2024,2:04:23 PM,25.602,97,7.92,399.2,260,0.19,7.04
8/14/2024,2:04:33 PM,25.904,98.5,8,396.1,257,0.19,7.05
8/14/2024,2:04:43 PM,26.086,99.6,8.06,396.2,258,0.19,7.05
8/14/2024,2:04:53 PM,25.571,98.3,8.03,396.3,258,0.19,7.06
8/14/2024,2:05:03 PM,25.524,98.5,8.05,396.7,258,0.19,7.06
8/14/2024,2:05:13 PM,25.759,99.4,8.09,395,257,0.19,7.06
8/14/2024,2:05:23 PM,25.955,100,8.11,388.1,252,0.18,7.06
8/14/2024,2:05:33 PM,26.035,99.6,8.07,390.2,254,0.19,7.05
8/14/2024,2:05:43 PM,26.093,99.5,8.05,395.9,257,0.19,7.04
8/14/2024,2:05:53 PM,26.103,99.8,8.08,395.5,257,0.19,7.04
8/14/2024,2:06:03 PM,26.088,100.2,8.11,395.5,257,0.19,7.04
8/14/2024,2:06:13 PM,26.087,100.7,8.15,395.6,257,0.19,7.04
8/14/2024,2:06:23 PM,25.955,101.2,8.21,395.8,257,0.19,7.04
8/14/2024,2:06:33 PM,25.926,101.9,8.27,394.7,257,0.19,7.05
8/14/2024,2:06:43 PM,27.223,107.6,8.71,388.3,252,0.18,7.06
8/14/2024,2:06:53 PM,27.293,108.1,8.56,394.3,256,0.19,7.06
8/14/2024,2:07:03 PM,26.617,103.6,8.3,398.4,259,0.19,7.05
8/14/2024,2:07:13 PM,26.054,103.7,8.4,399.6,260,0.19,7.06
8/14/2024,2:07:23 PM,26.349,101,8.14,400.9,261,0.19,7.05
8/14/2024,2:07:33 PM,26.552,98.6,7.92,401.5,261,0.19,7.02
8/14/2024,2:07:43 PM,26.577,96.6,7.75,400.7,260,0.19,6.98
8/14/2024,2:07:53 PM,26.774,95.9,7.67,399.7,260,0.19,6.95
8/14/2024,2:08:03 PM,26.834,95.5,7.62,397.6,258,0.19,6.92
8/14/2024,2:08:13 PM,26.36,96.2,7.75,397.3,258,0.19,6.92
8/14/2024,2:08:23 PM,26.132,98.9,7.99,397.4,258,0.19,6.95
8/14/2024,2:08:33 PM,26.041,100,8.1,398.1,259,0.19,6.99
8/14/2024,2:08:43 PM,26.073,101,8.18,398.2,259,0.19,7.01
8/14/2024,2:08:53 PM,26.168,101.4,8.2,395.3,257,0.19,7.03
8/14/2024,2:09:03 PM,26.158,101.1,8.17,393.2,256,0.19,7.04
8/14/2024,2:09:13 PM,26.323,101.7,8.2,396.8,258,0.19,7.05
8/14/2024,2:09:23 PM,26.294,101.7,8.2,396,257,0.19,7.06
8/14/2024,2:09:33 PM,26.517,102.8,8.26,395.1,257,0.19,7.06
8/14/2024,2:09:43 PM,26.192,101.8,8.22,396.5,258,0.19,7.07
8/14/2024,2:09:53 PM,25.817,100.4,8.17,397.3,258,0.19,7.07
8/14/2024,2:10:03 PM,25.988,100.8,8.17,391.6,255,0.19,7.08
8/14/2024,2:10:13 PM,25.643,96.4,7.86,395.2,257,0.19,7.08
8/14/2024,2:10:23 PM,24.921,96.4,7.97,396.6,258,0.19,7.08
8/14/2024,2:10:33 PM,24.903,95.8,7.92,395.2,257,0.19,7.07
8/14/2024,2:10:43 PM,24.85,95.3,7.89,395.7,257,0.19,7.07
8/14/2024,2:10:53 PM,24.979,95.4,7.88,395.9,257,0.19,7.07
8/14/2024,2:11:03 PM,24.429,92.8,7.74,401.3,261,0.19,7.07
8/14/2024,2:11:13 PM,24.13,90.4,7.58,399.5,260,0.19,7.06
8/14/2024,2:11:23 PM,24.032,87.8,7.38,399.1,259,0.19,7.04
8/14/2024,2:11:33 PM,24.121,87.2,7.31,400.3,260,0.19,7.03
8/14/2024,2:11:43 PM,24.367,87.5,7.31,400.6,260,0.19,7.01
8/14/2024,2:11:53 PM,24.7,88.7,7.36,398.9,259,0.19,7
8/14/2024,2:12:03 PM,24.581,88.4,7.35,398,259,0.19,7
8/14/2024,2:12:13 PM,24.363,87,7.27,399.8,260,0.19,6.99
8/14/2024,2:12:23 PM,24.37,86.3,7.21,399.3,260,0.19,6.98
8/14/2024,2:12:33 PM,24.581,90,7.49,397.7,259,0.19,6.98
8/14/2024,2:12:43 PM,25.181,90.5,7.45,393.1,255,0.19,6.97
8/14/2024,2:12:53 PM,25.046,90,7.42,395.8,257,0.19,6.97
8/14/2024,2:13:03 PM,25.597,93,7.59,394.4,256,0.19,6.97
8/14/2024,2:13:13 PM,25.534,92.2,7.53,392.8,255,0.19,6.96
8/14/2024,2:13:23 PM,25.326,90.8,7.45,395,257,0.19,6.96
8/14/2024,2:13:33 PM,25.093,89.2,7.35,396.7,258,0.19,6.96
8/14/2024,2:13:43 PM,25.071,88.3,7.28,395.2,257,0.19,6.96
8/14/2024,2:13:53 PM,25.327,89.1,7.31,392.6,255,0.19,6.96
8/14/2024,2:14:03 PM,25.445,90.3,7.4,393.5,256,0.19,6.95
8/14/2024,2:14:13 PM,25.298,89.1,7.31,394.2,256,0.19,6.95
8/14/2024,2:14:23 PM,25.396,88.9,7.29,393.8,256,0.19,6.95
8/14/2024,2:14:33 PM,25.21,88.2,7.25,396,257,0.19,6.95
8/14/2024,2:14:43 PM,25.118,87.3,7.19,397.2,258,0.19,6.95
8/14/2024,2:14:53 PM,24.544,84.7,7.05,397.3,258,0.19,6.95
8/14/2024,2:15:03 PM,24.355,82.6,6.9,402.6,262,0.19,6.94
8/14/2024,2:15:13 PM,24.235,81.5,6.82,400.5,260,0.19,6.94
8/14/2024,2:15:23 PM,24.302,81.1,6.78,397.7,259,0.19,6.94
8/14/2024,2:15:33 PM,24.287,80.7,6.75,399,259,0.19,6.93
8/14/2024,2:15:43 PM,24.189,80,6.7,399.9,260,0.19,6.92
8/14/2024,2:15:53 PM,24.188,79.9,6.7,399.7,260,0.19,6.92
8/14/2024,2:16:03 PM,24.212,80.1,6.71,400.5,260,0.19,6.92
8/14/2024,2:16:13 PM,24.286,75.2,6.29,446.4,290,0.21,6.9
8/14/2024,2:16:23 PM,24.3,74.8,6.26,427.9,278,0.2,6.88
8/14/2024,2:16:33 PM,24.283,74.5,6.23,427.4,278,0.2,6.87
8/14/2024,2:16:43 PM,24.29,75.3,6.3,416.3,271,0.2,6.87
8/14/2024,2:16:53 PM,24.272,75.8,6.34,417.4,271,0.2,6.87
8/14/2024,2:17:03 PM,24.303,75.8,6.34,416.4,271,0.2,6.86
8/14/2024,2:17:13 PM,24.329,75.7,6.32,413.2,269,0.2,6.86
8/14/2024,2:17:23 PM,24.367,75.9,6.34,412.9,268,0.2,6.86
8/14/2024,2:17:33 PM,24.387,76.7,6.41,404.5,263,0.19,6.86
8/14/2024,2:17:43 PM,24.398,77,6.43,406.7,264,0.19,6.86
8/14/2024,2:17:53 PM,24.393,76.6,6.39,411.8,268,0.2,6.86
8/14/2024,2:18:03 PM,24.404,76.2,6.36,413.3,269,0.2,6.86
8/14/2024,2:18:13 PM,24.522,77.3,6.44,408.5,266,0.2,6.85
8/14/2024,2:18:23 PM,24.494,77.8,6.48,411.6,268,0.2,6.85
8/14/2024,2:18:33 PM,24.462,77.1,6.42,414.3,269,0.2,6.85
8/14/2024,2:18:43 PM,24.514,76.9,6.4,412.4,268,0.2,6.85
8/14/2024,2:18:53 PM,24.619,77.5,6.44,414.3,269,0.2,6.85
8/14/2024,2:19:03 PM,24.648,78.4,6.52,413.3,269,0.2,6.85
8/14/2024,2:19:13 PM,24.618,78.4,6.52,414,269,0.2,6.85
8/14/2024,2:19:23 PM,24.618,78.2,6.5,412.9,268,0.2,6.85
8/14/2024,2:19:33 PM,24.621,78.4,6.52,410,266,0.2,6.85
8/14/2024,2:19:43 PM,24.652,78.7,6.53,407.8,265,0.19,6.85
8/14/2024,2:19:53 PM,24.676,78.8,6.54,407.4,265,0.19,6.85
8/14/2024,2:20:03 PM,24.713,78.7,6.53,406.2,264,0.19,6.85
8/14/2024,2:20:13 PM,24.765,78.5,6.51,408.2,265,0.19,6.85
8/14/2024,2:20:23 PM,24.822,78.7,6.52,410.3,267,0.2,6.85
8/14/2024,2:20:33 PM,24.77,78.6,6.52,410.2,267,0.2,6.84
8/14/2024,2:20:43 PM,24.749,78.2,6.48,407.2,265,0.19,6.84
8/14/2024,2:20:53 PM,25.35,80.7,6.62,409.1,266,0.2,6.83
8/14/2024,2:21:03 PM,25.446,82.1,6.72,408.8,266,0.19,6.82
8/14/2024,2:21:13 PM,25.325,81.4,6.68,407.8,265,0.19,6.82
8/14/2024,2:21:23 PM,24.821,79.9,6.62,402.2,261,0.19,6.83
8/14/2024,2:21:33 PM,24.825,79.3,6.57,403.4,262,0.19,6.83
8/14/2024,2:21:43 PM,24.955,79.6,6.58,403.4,262,0.19,6.83
8/14/2024,2:21:53 PM,24.972,79.8,6.59,408.8,266,0.2,6.84
8/14/2024,2:22:03 PM,24.941,79.6,6.58,411.7,268,0.2,6.84
8/14/2024,2:22:13 PM,25.005,79.5,6.56,411.1,267,0.2,6.83
8/14/2024,2:22:23 PM,25.009,79.5,6.56,411.5,267,0.2,6.83
8/14/2024,2:22:33 PM,25.031,79.6,6.57,411.5,267,0.2,6.83
8/14/2024,2:22:43 PM,25.026,79.7,6.58,410.3,267,0.2,6.83
8/14/2024,2:22:53 PM,25.075,80.2,6.61,410.4,267,0.2,6.83
8/14/2024,2:23:03 PM,25.104,80.5,6.63,412.5,268,0.2,6.83
8/14/2024,2:23:13 PM,25.087,80.4,6.62,412.6,268,0.2,6.84
8/14/2024,2:23:23 PM,25.196,80.6,6.63,412.7,268,0.2,6.84
8/14/2024,2:23:33 PM,25.307,81.2,6.67,413.1,269,0.2,6.84
8/14/2024,2:23:43 PM,25.509,82.1,6.71,413.9,269,0.2,6.83
8/14/2024,2:23:53 PM,25.48,82,6.71,413.3,269,0.2,6.82
8/14/2024,2:24:03 PM,25.391,81.7,6.69,412.9,268,0.2,6.81
8/14/2024,2:24:13 PM,25.36,81.6,6.69,412,268,0.2,6.82
8/14/2024,2:24:23 PM,25.397,81.7,6.7,412.1,268,0.2,6.82
8/14/2024,2:24:33 PM,25.351,81.9,6.72,412.5,268,0.2,6.82
8/14/2024,2:24:43 PM,25.366,81.8,6.71,412.2,268,0.2,6.82
8/14/2024,2:24:53 PM,25.386,81.7,6.69,412.4,268,0.2,6.82
8/14/2024,2:25:03 PM,25.389,81.5,6.68,412.9,268,0.2,6.83
8/14/2024,2:25:13 PM,25.48,81.8,6.69,412.9,268,0.2,6.83
8/14/2024,2:25:23 PM,25.517,82,6.71,412.8,268,0.2,6.83
8/14/2024,2:25:33 PM,25.615,82.6,6.74,412.8,268,0.2,6.83
8/14/2024,2:25:43 PM,25.602,83.2,6.79,412.7,268,0.2,6.83
8/14/2024,2:25:53 PM,25.537,83.4,6.82,412.1,268,0.2,6.83
8/14/2024,2:26:03 PM,25.445,83.3,6.82,412.1,268,0.2,6.84
8/14/2024,2:26:13 PM,25.41,83.2,6.82,412.2,268,0.2,6.84
8/14/2024,2:26:23 PM,25.374,83.5,6.84,412.2,268,0.2,6.84
8/14/2024,2:26:33 PM,25.311,83.7,6.87,412.2,268,0.2,6.84
8/14/2024,2:26:43 PM,25.223,83.3,6.85,412.1,268,0.2,6.84
8/14/2024,2:26:53 PM,25.179,82.8,6.81,412.1,268,0.2,6.84
8/14/2024,2:27:03 PM,25.214,82.9,6.81,412.2,268,0.2,6.84
8/14/2024,2:27:13 PM,25.217,82.8,6.81,412.3,268,0.2,6.84
8/14/2024,2:27:23 PM,25.261,82.9,6.81,412.3,268,0.2,6.83
8/14/2024,2:27:33 PM,25.259,82.8,6.8,412.2,268,0.2,6.83
8/14/2024,2:27:43 PM,25.203,82.3,6.77,412.5,268,0.2,6.83
8/14/2024,2:27:53 PM,25.236,82.3,6.77,412.7,268,0.2,6.83
8/14/2024,2:28:03 PM,25.217,82.3,6.77,412.6,268,0.2,6.83
8/14/2024,2:28:13 PM,25.28,82.4,6.77,412.7,268,0.2,6.82
8/14/2024,2:28:23 PM,25.379,82.6,6.77,412.7,268,0.2,6.82
8/14/2024,2:28:33 PM,25.575,83.8,6.85,413,268,0.2,6.82
8/14/2024,2:28:43 PM,25.53,84.7,6.92,412.1,268,0.2,6.83
8/14/2024,2:28:53 PM,25.368,84.3,6.91,413.1,269,0.2,6.83
8/14/2024,2:29:03 PM,25.07,83,6.84,412.2,268,0.2,6.83
8/14/2024,2:29:13 PM,25.008,82.2,6.79,412,268,0.2,6.83
8/14/2024,2:29:23 PM,25.011,81.9,6.76,412,268,0.2,6.83
8/14/2024,2:29:33 PM,24.999,81.7,6.75,412.1,268,0.2,6.83
8/14/2024,2:29:43 PM,25.021,81.7,6.74,412,268,0.2,6.83
8/14/2024,2:29:53 PM,25.045,81.8,6.75,412.1,268,0.2,6.83
8/14/2024,2:30:03 PM,25.051,82,6.77,412.1,268,0.2,6.83
8/14/2024,2:30:13 PM,25.31,84.2,6.91,412.7,268,0.2,6.83
8/14/2024,2:30:23 PM,25.303,85.5,7.02,412.8,268,0.2,6.83
8/14/2024,2:30:33 PM,25.273,85,6.98,412.6,268,0.2,6.83
8/14/2024,2:30:43 PM,25.271,84.6,6.95,411.7,268,0.2,6.83
8/14/2024,2:30:53 PM,25.27,84.8,6.97,411,267,0.2,6.83
8/14/2024,2:31:03 PM,25.268,85,6.98,411.1,267,0.2,6.84
8/14/2024,2:31:13 PM,25.216,84.6,6.96,411.4,267,0.2,6.84
8/14/2024,2:31:23 PM,25.226,84.6,6.96,411.4,267,0.2,6.84
8/14/2024,2:31:33 PM,25.24,85.2,7,412.6,268,0.2,6.84
8/14/2024,2:31:43 PM,25.252,85.4,7.02,413,268,0.2,6.83
8/14/2024,2:31:53 PM,25.298,86,7.06,413.1,268,0.2,6.83
8/14/2024,2:32:03 PM,25.793,92.6,7.54,413.6,269,0.2,6.83
8/14/2024,2:32:13 PM,26.017,93.3,7.56,414.4,269,0.2,6.84
8/14/2024,2:32:23 PM,25.992,94.1,7.62,414.4,269,0.2,6.85
8/14/2024,2:32:33 PM,25.961,94.2,7.64,414.4,269,0.2,6.86
8/14/2024,2:32:43 PM,26.107,99.4,8.05,415.5,270,0.2,6.86
8/14/2024,2:32:53 PM,26.18,98.2,7.93,415.8,270,0.2,6.86
8/14/2024,2:33:03 PM,26.124,101.9,8.24,415.8,270,0.2,6.86
8/14/2024,2:33:13 PM,26.509,103.4,8.31,416.9,271,0.2,6.87
8/14/2024,2:33:23 PM,26.351,102.7,8.27,416.2,271,0.2,6.87
8/14/2024,2:33:33 PM,26.198,101.5,8.2,415.6,270,0.2,6.88
8/14/2024,2:33:43 PM,26.06,99.4,8.05,415,270,0.2,6.88
8/14/2024,2:33:53 PM,25.925,97.3,7.9,414.5,269,0.2,6.88
8/14/2024,2:34:03 PM,26.075,97.7,7.91,415.2,270,0.2,6.88
8/14/2024,2:34:13 PM,26.119,97.8,7.91,415.2,270,0.2,6.88
8/14/2024,2:34:23 PM,26.11,97.9,7.92,415.1,270,0.2,6.88
8/14/2024,2:34:33 PM,26.044,97.2,7.88,415,270,0.2,6.88
8/14/2024,2:34:43 PM,26.076,97.2,7.87,415.1,270,0.2,6.88
8/14/2024,2:34:53 PM,26.139,97.7,7.9,415.4,270,0.2,6.89
8/14/2024,2:35:03 PM,26.251,98.7,7.96,415.5,270,0.2,6.89
8/14/2024,2:35:13 PM,26.128,98.3,7.94,415.3,270,0.2,6.89
8/14/2024,2:35:23 PM,26.019,97.2,7.88,415,270,0.2,6.9
8/14/2024,2:35:33 PM,26.152,97.3,7.87,415.7,270,0.2,6.89
8/14/2024,2:35:43 PM,26.352,98.1,7.9,416.3,271,0.2,6.89
8/14/2024,2:35:53 PM,26.4,98.6,7.93,416.4,271,0.2,6.89
8/14/2024,2:36:03 PM,26.268,98,7.91,416.1,270,0.2,6.89
8/14/2024,2:36:13 PM,26.244,97.8,7.89,416,270,0.2,6.89
8/14/2024,2:36:23 PM,26.255,98.1,7.91,416,270,0.2,6.89
8/14/2024,2:36:33 PM,26.283,98.5,7.94,415.8,270,0.2,6.89
8/14/2024,2:36:43 PM,26.266,98.3,7.93,416,270,0.2,6.89
8/14/2024,2:36:53 PM,26.217,97.7,7.88,415.8,270,0.2,6.89
8/14/2024,2:37:03 PM,26.237,97.4,7.86,415.8,270,0.2,6.89
8/14/2024,2:37:13 PM,26.273,97.7,7.88,415.8,270,0.2,6.89
8/14/2024,2:37:23 PM,26.243,98.1,7.92,415.7,270,0.2,6.9
8/14/2024,2:37:33 PM,26.222,97.9,7.91,415.5,270,0.2,6.9
8/14/2024,2:37:43 PM,26.259,97.6,7.88,415.7,270,0.2,6.9
8/14/2024,2:37:53 PM,26.289,97.6,7.87,415.9,270,0.2,6.9
8/14/2024,2:38:03 PM,26.373,98.1,7.9,416.1,270,0.2,6.9
8/14/2024,2:38:13 PM,26.43,98.7,7.93,416.1,270,0.2,6.9
8/14/2024,2:38:23 PM,26.32,98.5,7.93,414.6,269,0.2,6.9
8/14/2024,2:38:33 PM,26.312,98.6,7.95,415.1,270,0.2,6.9
8/14/2024,2:38:43 PM,26.306,98.7,7.96,415.9,270,0.2,6.9
8/14/2024,2:38:53 PM,26.257,98.1,7.91,416.1,270,0.2,6.9
8/14/2024,2:39:03 PM,26.101,97.3,7.87,415.6,270,0.2,6.9
8/14/2024,2:39:13 PM,25.904,96.1,7.8,415.7,270,0.2,6.89
8/14/2024,2:39:23 PM,26.018,96.8,7.85,415.7,270,0.2,6.89
8/14/2024,2:39:33 PM,26.073,97.5,7.89,415.6,270,0.2,6.88
8/14/2024,2:39:43 PM,26.088,97.7,7.91,415.9,270,0.2,6.89
8/14/2024,2:39:53 PM,26.018,97.2,7.87,416,270,0.2,6.89
8/14/2024,2:40:03 PM,25.94,96.4,7.82,415.8,270,0.2,6.88
8/14/2024,2:40:13 PM,25.878,95.9,7.79,415.6,270,0.2,6.88
8/14/2024,2:40:23 PM,26.063,96.9,7.84,416,270,0.2,6.88
8/14/2024,2:40:33 PM,26.21,98.1,7.92,415.8,270,0.2,6.87
8/14/2024,2:40:43 PM,25.881,96.6,7.85,415.8,270,0.2,6.87
8/14/2024,2:40:53 PM,25.852,96,7.8,415.5,270,0.2,6.87
8/14/2024,2:41:03 PM,25.959,96.4,7.82,415,270,0.2,6.87
8/14/2024,2:41:13 PM,25.936,96.6,7.84,415.3,270,0.2,6.87
8/14/2024,2:41:23 PM,25.763,95.5,7.78,416,270,0.2,6.88
8/14/2024,2:41:33 PM,25.794,95.2,7.74,415.7,270,0.2,6.88
8/14/2024,2:41:43 PM,25.789,94.9,7.72,415.9,270,0.2,6.87
8/14/2024,2:41:53 PM,25.812,94.8,7.71,416,270,0.2,6.87
8/14/2024,2:42:03 PM,25.836,95,7.72,416,270,0.2,6.87
8/14/2024,2:42:13 PM,25.879,95.3,7.74,416,270,0.2,6.87
8/14/2024,2:42:23 PM,25.862,95.2,7.74,416,270,0.2,6.86
8/14/2024,2:42:33 PM,25.905,95.2,7.73,416.1,270,0.2,6.86
8/14/2024,2:42:43 PM,25.968,95.6,7.75,416,270,0.2,6.86
8/14/2024,2:42:53 PM,25.859,95.2,7.74,416.3,271,0.2,6.87
8/14/2024,2:43:03 PM,25.767,94.7,7.71,415.4,270,0.2,6.87
8/14/2024,2:43:13 PM,25.761,94.5,7.69,414.9,270,0.2,6.86
8/14/2024,2:43:23 PM,25.764,94.3,7.67,414.9,270,0.2,6.86
8/14/2024,2:43:33 PM,25.754,94.1,7.66,415.2,270,0.2,6.86
8/14/2024,2:43:43 PM,25.769,94,7.65,415.7,270,0.2,6.86
8/14/2024,2:43:53 PM,25.794,94,7.65,415.6,270,0.2,6.86
8/14/2024,2:44:03 PM,25.783,94,7.65,416,270,0.2,6.86
8/14/2024,2:44:13 PM,25.773,93.9,7.64,415.6,270,0.2,6.85
8/14/2024,2:44:23 PM,25.765,93.8,7.64,414.5,269,0.2,6.85
8/14/2024,2:44:33 PM,25.776,93.9,7.64,414.8,270,0.2,6.85
8/14/2024,2:44:43 PM,25.79,93.9,7.64,415.3,270,0.2,6.85
8/14/2024,2:44:53 PM,25.773,93.8,7.63,415.8,270,0.2,6.85
8/14/2024,2:45:03 PM,25.761,93.6,7.62,415.5,270,0.2,6.85
8/14/2024,2:45:13 PM,25.775,93.7,7.62,415.8,270,0.2,6.85
8/14/2024,2:45:23 PM,25.789,93.7,7.63,416,270,0.2,6.85
8/14/2024,2:45:33 PM,25.787,93.8,7.64,416.1,270,0.2,6.85
8/14/2024,2:45:43 PM,25.759,93.6,7.62,416.2,271,0.2,6.85
8/14/2024,2:45:53 PM,25.739,93.2,7.59,416.2,271,0.2,6.85
8/14/2024,2:46:03 PM,25.781,93.2,7.58,416.4,271,0.2,6.84
8/14/2024,2:46:13 PM,25.815,93.2,7.58,416.5,271,0.2,6.84
8/14/2024,2:46:23 PM,25.832,93.2,7.58,416.5,271,0.2,6.84
8/14/2024,2:46:33 PM,25.808,93,7.57,416.5,271,0.2,6.84
8/14/2024,2:46:43 PM,25.783,93,7.56,416.2,271,0.2,6.84
8/14/2024,2:46:53 PM,25.788,93.1,7.57,416.2,271,0.2,6.84
8/14/2024,2:47:03 PM,25.77,92.8,7.56,416.1,270,0.2,6.84
8/14/2024,2:47:13 PM,25.784,92.8,7.55,415.7,270,0.2,6.84
8/14/2024,2:47:23 PM,25.778,92.6,7.53,416.2,271,0.2,6.84
8/14/2024,2:47:33 PM,25.779,92.4,7.52,416.2,271,0.2,6.83
8/14/2024,2:47:43 PM,25.792,92.3,7.51,416.3,271,0.2,6.83
8/14/2024,2:47:53 PM,25.798,92.2,7.5,416.5,271,0.2,6.83
8/14/2024,2:48:03 PM,25.763,91.9,7.48,416.5,271,0.2,6.83
8/14/2024,2:48:13 PM,25.745,91.8,7.47,416.4,271,0.2,6.83
8/14/2024,2:48:23 PM,25.841,92.2,7.5,415.8,270,0.2,6.83
8/14/2024,2:48:33 PM,25.934,92.7,7.52,416,270,0.2,6.82
8/14/2024,2:48:43 PM,26.012,93.1,7.54,416.3,271,0.2,6.83
8/14/2024,2:48:53 PM,25.955,92.9,7.53,416.1,270,0.2,6.83
8/14/2024,2:49:03 PM,25.844,92.2,7.49,416.3,271,0.2,6.83
8/14/2024,2:49:13 PM,25.843,92.1,7.48,416.1,270,0.2,6.83
8/14/2024,2:49:23 PM,25.839,92,7.48,416,270,0.2,6.83
8/14/2024,2:49:33 PM,25.844,91.9,7.47,416.2,271,0.2,6.83
8/14/2024,2:49:43 PM,25.984,91.9,7.45,416.2,271,0.2,6.82
8/14/2024,2:49:53 PM,25.883,91.2,7.41,415.1,270,0.2,6.82
8/14/2024,2:50:03 PM,25.84,90.9,7.39,416.2,271,0.2,6.82
8/14/2024,2:50:13 PM,25.869,90.8,7.38,416.2,271,0.2,6.82
8/14/2024,2:50:23 PM,25.911,90.7,7.37,416,270,0.2,6.81
8/14/2024,2:50:33 PM,25.922,90.7,7.36,415.8,270,0.2,6.81
8/14/2024,2:50:43 PM,25.963,90.7,7.36,416.5,271,0.2,6.81
8/14/2024,2:50:53 PM,26.027,90.6,7.34,417.1,271,0.2,6.81
8/14/2024,2:51:03 PM,26.057,90.4,7.32,417.4,271,0.2,6.81
8/14/2024,2:51:13 PM,26.012,90.1,7.3,417,271,0.2,6.81
8/14/2024,2:51:23 PM,25.86,89.6,7.28,416.3,271,0.2,6.81
8/14/2024,2:51:33 PM,25.731,89,7.25,416.1,270,0.2,6.8
8/14/2024,2:51:43 PM,25.747,88.8,7.23,416.2,271,0.2,6.8
8/14/2024,2:51:53 PM,25.77,88.6,7.21,416,270,0.2,6.8
8/14/2024,2:52:03 PM,25.84,88.6,7.2,415.2,270,0.2,6.79
